State,Date,Sales,Category,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,day_of_week,month,week,year,is_holiday
Alabama,2020-05-07,138414683.20000002,Beverages,123259529.2,127145065.2,109574036.0,121734506.97142859,11437775.505976608,3,5,19,2020,1
Alabama,2020-05-17,130340051.0,Beverages,138414683.20000002,116657084.0,112189103.8,123689216.54285716,11593569.974970032,6,5,20,2020,0
Alabama,2020-05-24,134708618.7,Beverages,130340051.0,133713630.0,129106730.4,123831357.78571428,11742104.570006538,6,5,21,2020,0
Alabama,2020-05-31,129887876.9,Beverages,134708618.7,117742073.2,108083723.8,125566472.60000001,11588714.276415832,6,5,22,2020,0
Alabama,2020-06-09,137905687.0,Beverages,129887876.9,118114595.0,110932912.8,128393771.45714286,11878272.825716995,1,6,24,2020,0
Alabama,2020-06-12,116104621.0,Beverages,137905687.0,104239954.2,123782285.8,130088723.85714285,8104180.786606202,4,6,24,2020,0
Alabama,2020-06-14,131401892.7,Beverages,116104621.0,123259529.2,116218908.9,131251918.64285715,7524203.560400863,6,6,24,2020,0
Alabama,2020-06-21,133712552.3,Beverages,131401892.7,138414683.20000002,109968010.6,130580185.65714286,6967457.460401415,6,6,25,2020,0
Alabama,2020-06-28,132320128.4,Beverages,133712552.3,130340051.0,109056410.0,130863053.85714285,6996218.215815853,6,6,26,2020,0
Alabama,2020-07-06,132304540.8,Beverages,132320128.4,134708618.7,113040422.1,130519614.15714285,6833084.6596167395,0,7,28,2020,0
Alabama,2020-07-19,133548791.3,Beverages,132304540.8,129887876.9,108528456.4,131042601.92857143,6916266.8703359105,6,7,29,2020,0
Alabama,2020-07-26,132657648.5,Beverages,133548791.3,137905687.0,116541575.0,130292882.14285715,6305822.242985894,6,7,30,2020,0
Alabama,2020-08-03,119441834.4,Beverages,132657648.5,116104621.0,106949922.2,130769626.9142857,5056808.09702915,0,8,32,2020,0
Alabama,2020-08-11,120902500.1,Beverages,119441834.4,131401892.7,116651493.0,129269713.68571429,6253533.700687213,1,8,33,2020,0
Alabama,2020-08-16,137880677.4,Beverages,120902500.1,133712552.3,120522113.9,129865160.12857142,6910958.548394508,6,8,33,2020,0
